vol_iss_date, pdf_link, cover_loc, iss_loc
"Vol. 11, No. 29, July 20, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2029%201-24%20jul%2013%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2029%201-24%20jul%2013%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2029%201-24%20jul%2013%201974.pdf
"Vol. 12, No. 2, August 3, 1974", https://www.marxists.org/history/usa/pubs/black-panther/11%20no%2030%201-24%20jul%2020%201974.pdf, ./periodicals/black-panther/bpp-covers/11%20no%2030%201-24%20jul%2020%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/11%20no%2030%201-24%20jul%2020%201974.pdf
"Vol. 12, No. 3, August 10, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%202%201-24%20aug%203%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%202%201-24%20aug%203%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%202%201-24%20aug%203%201974.pdf
"Vol. 12, No. 4, August 17, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%203%201-24%20aug%2010%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%203%201-24%20aug%2010%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%203%201-24%20aug%2010%201974.pdf
"Vol. 12, No. 5, August 24, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%204%201-24%20aug%2017%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%204%201-24%20aug%2017%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%204%201-24%20aug%2017%201974.pdf
"Vol. 12, No. 6, August 31, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%205%201-24%20aug%2024%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%205%201-24%20aug%2024%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%205%201-24%20aug%2024%201974.pdf
"Vol. 12, No. 7, September 7, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%206%201-24%20aug%2031%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%206%201-24%20aug%2031%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%206%201-24%20aug%2031%201974.pdf
"Vol. 12, No. 8, September 14, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%207%201-24%20sep%207%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%207%201-24%20sep%207%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%207%201-24%20sep%207%201974.pdf
"Vol. 12, No. 9, September 21, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%208%201-24%20sep%2014%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%208%201-24%20sep%2014%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%208%201-24%20sep%2014%201974.pdf
"Vol. 12, No. 10, September 28, 1974", https://www.marxists.org/history/usa/pubs/black-panther/12%20no%209%201-24%20sep%2021%201974.pdf, ./periodicals/black-panther/bpp-covers/12%20no%209%201-24%20sep%2021%201974_cover.pdf, ./periodicals/black-panther/bpp-issues/12%20no%209%201-24%20sep%2021%201974.pdf
